ocel:eid,ocel:timestamp,ocel:activity,ocel:type:orders,ocel:type:customers,ocel:type:items,ocel:type:products,ocel:type:employees,ocel:type:packages
pick_i-882061,2023-07-18 09:24:59+00:00,pick item,,,['i-882061'],['Echo Studio'],['Mahsa Bafrani'],
pick_i-882035,2023-07-18 09:38:13+00:00,pick item,,,['i-882035'],['Kindle Paperwhite'],['Leah Tacke genannt Unterberg'],
pay_o-990491,2023-07-18 10:56:25+00:00,pay order,['o-990491'],,['i-881923'],['Echo Show 8'],,
place_o-990526,2023-07-18 10:59:07+00:00,place order,['o-990526'],['Carpathian Financial Services plc'],"['i-882074', 'i-882075', 'i-882076', 'i-882077', 'i-882078', 'i-882079', 'i-882080']","['Echo Plus', 'Echo Show 5', 'Echo Dot', 'iPad Pro', 'Kindle', 'Echo Plus', 'Echo']",,
pick_i-882037,2023-07-18 11:21:12+00:00,pick item,,,['i-882037'],['iPhone 11'],['Christopher Schwanen'],
reorder_i-881948,2023-07-18 12:01:57+00:00,reorder item,,,['i-881948'],['MacBook Pro'],['Leah Tacke genannt Unterberg'],
pick_i-882063,2023-07-18 12:06:10+00:00,pick item,,,['i-882063'],['iPhone 11 Pro'],['Mahsa Bafrani'],
pick_i-882043,2023-07-18 12:47:10+00:00,pick item,,,['i-882043'],['Fire Stick'],['Detlef Wetzeler'],
pick_i-882044,2023-07-18 12:47:10+00:00,pick item,,,['i-882044'],['Kindle Paperwhite'],['Christopher Schwanen'],
out_of_stock_i-881970,2023-07-18 12:52:17+00:00,item out of stock,,,['i-881970'],['Echo Show 8'],['Marco Pegoraro'],
pay_o-990502,2023-07-18 12:52:17+00:00,pay order,['o-990502'],,"['i-881967', 'i-881968', 'i-881969', 'i-881970', 'i-881971']","['iPhone X', 'Echo Dot', 'iPad Pro', 'Echo Show 8', 'Echo Dot']",,
out_of_stock_i-882003,2023-07-18 13:05:42+00:00,item out of stock,,,['i-882003'],['Fire Stick 4K'],['Marco Pegoraro'],
place_o-990527,2023-07-18 13:16:20+00:00,place order,['o-990527'],['Carpathian Financial Services plc'],"['i-882081', 'i-882082', 'i-882083', 'i-882084']","['MacBook Air', 'Echo Dot', 'Echo Show 8', 'Kindle']",,
pick_i-882027,2023-07-18 14:26:02+00:00,pick item,,,['i-882027'],['Kindle Paperwhite'],['Mahsa Bafrani'],
pick_i-882022,2023-07-18 14:26:02+00:00,pick item,,,['i-882022'],['Fire Stick 4K'],['Benedikt Knopp'],
pick_i-881834,2023-07-18 14:29:13+00:00,pick item,,,['i-881834'],['Fire Stick 4K'],['Benedikt Knopp'],
pick_i-882046,2023-07-18 14:39:05+00:00,pick item,,,['i-882046'],['Echo Plus'],['Benedikt Knopp'],
place_o-990528,2023-07-18 14:50:46+00:00,place order,['o-990528'],['Riviera Robotics SAS'],['i-882085'],['Echo Show 5'],,
create_p-660274,2023-07-18 15:47:52+00:00,create package,,,"['i-881942', 'i-881897', 'i-881890', 'i-881892', 'i-881940']","['MacBook Pro', 'Echo Show 8', 'Fire Stick 4K', 'Echo', 'Echo Studio']",['Benedikt Knopp'],['p-660274']
pick_i-882036,2023-07-18 15:47:52+00:00,pick item,,,['i-882036'],['Fire Stick 4K'],['Christopher Schwanen'],
pick_i-881806,2023-07-18 16:39:37+00:00,pick item,,,['i-881806'],['iPhone X'],['Mahsa Bafrani'],
place_o-990529,2023-07-18 16:59:37+00:00,place order,['o-990529'],['Vesta Fashion House GmbH'],['i-882086'],['Echo'],,
pick_i-882034,2023-07-18 17:10:04+00:00,pick item,,,['i-882034'],['iPhone 8'],['Mahsa Bafrani'],
pick_i-882042,2023-07-18 17:13:50+00:00,pick item,,,['i-882042'],['iPhone 11 Pro'],['Leah Tacke genannt Unterberg'],
pick_i-881951,2023-07-18 17:46:45+00:00,pick item,,,['i-881951'],['iPhone 8'],['Nina Graves'],
confirm_o-990516,2023-07-18 18:02:42+00:00,confirm order,['o-990516'],['Carpathian Financial Services plc'],"['i-882022', 'i-882023', 'i-882024', 'i-882025', 'i-882026', 'i-882027', 'i-882028', 'i-882029']","['Fire Stick 4K', 'iPhone 11', 'Echo Dot', 'MacBook Pro', 'Echo Studio', 'Kindle Paperwhite', 'iPad Pro', 'iPhone X']",['Jan Niklas Adams'],
create_p-660275,2023-07-18 18:18:19+00:00,create package,,,"['i-881866', 'i-881865', 'i-881806', 'i-881715']","['Kindle', 'iPhone 11', 'iPhone X', 'iPhone 11']",['Marco Pegoraro'],['p-660275']
pick_i-882059,2023-07-18 18:18:19+00:00,pick item,,,['i-882059'],['Echo Plus'],['Mahsa Bafrani'],
pick_i-882060,2023-07-18 18:18:19+00:00,pick item,,,['i-882060'],['iPad mini'],['Christopher Schwanen'],
pick_i-881900,2023-07-18 18:37:55+00:00,pick item,,,['i-881900'],['iPad'],['Detlef Wetzeler'],
place_o-990530,2023-07-18 19:17:20+00:00,place order,['o-990530'],['Balkan Minerals d.o.o.'],"['i-882087', 'i-882088', 'i-882089', 'i-882090']","['Kindle Paperwhite', 'iPad', 'iPad', 'iPad mini']",,
confirm_o-990517,2023-07-18 20:46:44+00:00,confirm order,['o-990517'],['Iberian Sun Solaridades SA'],"['i-882030', 'i-882031', 'i-882032', 'i-882033', 'i-882034']","['Fire Stick', 'Fire Stick', 'Echo Show 5', 'Echo Show 5', 'iPhone 8']",['Christine von Dobbert'],
send_p-660274,2023-07-18 20:47:52+00:00,send package,,,"['i-881942', 'i-881897', 'i-881890', 'i-881892', 'i-881940']","['MacBook Pro', 'Echo Show 8', 'Fire Stick 4K', 'Echo', 'Echo Studio']","['Majid Rafiei', 'Christopher Schwanen']",['p-660274']
fail_p-660266_69,2023-07-18 20:55:37+00:00,failed delivery,,,"['i-881921', 'i-881920', 'i-881901', 'i-881904', 'i-881903', 'i-881923', 'i-881757', 'i-881918', 'i-881917', 'i-881919']","['Kindle Paperwhite', 'iPad Pro', 'Kindle', 'Fire Stick', 'iPhone 11 Pro', 'Echo Show 8', 'Kindle Paperwhite', 'Kindle Paperwhite', 'Kindle', 'MacBook Pro']",['Majid Rafiei'],['p-660266']
pick_i-882064,2023-07-18 20:59:30+00:00,pick item,,,['i-882064'],['iPhone 11'],['Mahsa Bafrani'],
create_p-660276,2023-07-18 21:06:02+00:00,create package,,,"['i-881982', 'i-881981', 'i-881795', 'i-881980']","['Echo', 'Echo Plus', 'Echo Plus', 'Echo Show 5']",['Leah Tacke genannt Unterberg'],['p-660276']
pick_i-882025,2023-07-18 21:06:02+00:00,pick item,,,['i-882025'],['MacBook Pro'],['Nina Graves'],
confirm_o-990518,2023-07-18 22:08:13+00:00,confirm order,['o-990518'],['Balkan Minerals d.o.o.'],['i-882035'],['Kindle Paperwhite'],['Christine von Dobbert'],
place_o-990531,2023-07-18 22:10:51+00:00,place order,['o-990531'],['Eastern Oak Insurance Zrt.'],"['i-882091', 'i-882092']","['Echo', 'Echo']",,
pick_i-882067,2023-07-18 22:40:31+00:00,pick item,,,['i-882067'],['iPhone 8'],['Leah Tacke genannt Unterberg'],
out_of_stock_i-881935,2023-07-18 22:44:41+00:00,item out of stock,,,['i-881935'],['iPad Air'],['Mahsa Bafrani'],
reorder_i-881956,2023-07-18 22:55:20+00:00,reorder item,,,['i-881956'],['Echo Show 5'],['Nina Graves'],
pay_o-990470,2023-07-18 23:12:16+00:00,pay order,['o-990470'],,"['i-881850', 'i-881851', 'i-881852', 'i-881853']","['Echo Studio', 'Fire Stick', 'iPhone 8', 'Kindle Paperwhite']",,
out_of_stock_i-882005,2023-07-18 23:16:37+00:00,item out of stock,,,['i-882005'],['iPhone 11'],['Nina Graves'],
out_of_stock_i-882004,2023-07-18 23:16:37+00:00,item out of stock,,,['i-882004'],['iPhone X'],['Mahsa Bafrani'],
send_p-660275,2023-07-18 23:18:19+00:00,send package,,,"['i-881866', 'i-881865', 'i-881806', 'i-881715']","['Kindle', 'iPhone 11', 'iPhone X', 'iPhone 11']","['Gyunam Park', 'Benedikt Knopp']",['p-660275']
pick_i-882026,2023-07-18 23:19:22+00:00,pick item,,,['i-882026'],['Echo Studio'],['Detlef Wetzeler'],
pick_i-881952,2023-07-18 23:30:17+00:00,pick item,,,['i-881952'],['MacBook Air'],['Leah Tacke genannt Unterberg'],
fail_p-660271_70,2023-07-18 23:40:00+00:00,failed delivery,,,"['i-881817', 'i-881945', 'i-881944', 'i-881993', 'i-881818', 'i-881943']","['Echo', 'iPad', 'Echo Show 5', 'Echo Dot', 'Fire Stick 4K', 'iPhone 8']",['Viki Peeva'],['p-660271']
confirm_o-990519,2023-07-18 23:51:12+00:00,confirm order,['o-990519'],['Danube Pharmaceuticals BV'],"['i-882036', 'i-882037', 'i-882038', 'i-882039', 'i-882040', 'i-882041']","['Fire Stick 4K', 'iPhone 11', 'Echo Show 8', 'MacBook Air', 'iPhone 11', 'iPad Pro']",['Christine von Dobbert'],
create_p-660277,2023-07-19 00:19:07+00:00,create package,,,"['i-882041', 'i-882037', 'i-882036', 'i-881809']","['iPad Pro', 'iPhone 11', 'Fire Stick 4K', 'Echo Studio']",['Benedikt Knopp'],['p-660277']
pick_i-882074,2023-07-19 00:19:07+00:00,pick item,,,['i-882074'],['Echo Plus'],['Nina Graves'],
pick_i-882078,2023-07-19 00:19:07+00:00,pick item,,,['i-882078'],['Kindle'],['Detlef Wetzeler'],
pick_i-882077,2023-07-19 00:19:07+00:00,pick item,,,['i-882077'],['iPad Pro'],['Nina Graves'],
pay_o-990439,2023-07-19 00:22:01+00:00,pay order,['o-990439'],,"['i-881735', 'i-881736']","['MacBook Air', 'iPad Air']",,
confirm_o-990520,2023-07-19 01:17:10+00:00,confirm order,['o-990520'],['Eastern Oak Insurance Zrt.'],"['i-882042', 'i-882043', 'i-882044', 'i-882045']","['iPhone 11 Pro', 'Fire Stick', 'Kindle Paperwhite', 'Echo Dot']",['Istvan Koren'],
send_p-660276,2023-07-19 02:06:02+00:00,send package,,,"['i-881982', 'i-881981', 'i-881795', 'i-881980']","['Echo', 'Echo Plus', 'Echo Plus', 'Echo Show 5']","['Viki Peeva', 'Mahsa Bafrani']",['p-660276']
reorder_i-881907,2023-07-19 02:13:56+00:00,reorder item,,,['i-881907'],['Echo Dot'],['Nina Graves'],
pay_o-990492,2023-07-19 02:14:16+00:00,pay order,['o-990492'],,"['i-881924', 'i-881925', 'i-881926', 'i-881927', 'i-881928']","['Echo', 'iPad', 'Echo Show 5', 'Echo Plus', 'iPhone 8']",,
pick_i-882082,2023-07-19 02:36:20+00:00,pick item,,,['i-882082'],['Echo Dot'],['Nina Graves'],
create_p-660278,2023-07-19 02:54:32+00:00,create package,,,"['i-881976', 'i-881969', 'i-881967', 'i-881977', 'i-881736', 'i-881850', 'i-882061', 'i-882059', 'i-882060', 'i-881971']","['iPhone 8', 'iPad Pro', 'iPhone X', 'iPhone 8', 'iPad Air', 'Echo Studio', 'Echo Studio', 'Echo Plus', 'iPad mini', 'Echo Dot']",['Christopher Schwanen'],['p-660278']
pick_i-882040,2023-07-19 02:54:32+00:00,pick item,,,['i-882040'],['iPhone 11'],['Marco Pegoraro'],
confirm_o-990521,2023-07-19 03:09:05+00:00,confirm order,['o-990521'],['Vesta Fashion House GmbH'],"['i-882046', 'i-882047', 'i-882048', 'i-882049']","['Echo Plus', 'Echo Show 5', 'iPhone 11', 'Kindle Paperwhite']",['Jan Niklas Adams'],
out_of_stock_i-882032,2023-07-19 03:43:24+00:00,item out of stock,,,['i-882032'],['Echo Show 5'],['Leah Tacke genannt Unterberg'],
out_of_stock_i-881947,2023-07-19 04:41:57+00:00,item out of stock,,,['i-881947'],['Echo Show 5'],['Benedikt Knopp'],
confirm_o-990522,2023-07-19 04:52:56+00:00,confirm order,['o-990522'],['Balkan Minerals d.o.o.'],"['i-882050', 'i-882051', 'i-882052', 'i-882053', 'i-882054', 'i-882055', 'i-882056', 'i-882057', 'i-882058']","['Echo', 'iPad Pro', 'Kindle Paperwhite', 'MacBook Air', 'Kindle', 'MacBook Pro', 'iPhone 11 Pro', 'Echo Show 5', 'iPad mini']",['Christine von Dobbert'],
pay_o-990402,2023-07-19 05:00:45+00:00,pay order,['o-990402'],,"['i-881588', 'i-881589']","['Kindle Paperwhite', 'iPhone X']",,
pick_i-882039,2023-07-19 05:07:52+00:00,pick item,,,['i-882039'],['MacBook Air'],['Christopher Schwanen'],
send_p-660277,2023-07-19 05:19:07+00:00,send package,,,"['i-882041', 'i-882037', 'i-882036', 'i-881809']","['iPad Pro', 'iPhone 11', 'Fire Stick 4K', 'Echo Studio']","['Majid Rafiei', 'Marco Pegoraro']",['p-660277']
pick_i-882049,2023-07-19 06:12:25+00:00,pick item,,,['i-882049'],['Kindle Paperwhite'],['Marco Pegoraro'],
confirm_o-990523,2023-07-19 06:48:19+00:00,confirm order,['o-990523'],['SwissPeak Timepieces AG'],"['i-882059', 'i-882060', 'i-882061']","['Echo Plus', 'iPad mini', 'Echo Studio']",['Christine von Dobbert'],
pick_i-882068,2023-07-19 07:33:51+00:00,pick item,,,['i-882068'],['Echo Dot'],['Mahsa Bafrani'],
pick_i-882070,2023-07-19 07:33:51+00:00,pick item,,,['i-882070'],['iPhone 8'],['Marco Pegoraro'],
pick_i-881876,2023-07-19 07:47:56+00:00,pick item,,,['i-881876'],['Fire Stick'],['Nina Graves'],
send_p-660278,2023-07-19 07:54:32+00:00,send package,,,"['i-881976', 'i-881969', 'i-881967', 'i-881977', 'i-881736', 'i-881850', 'i-882061', 'i-882059', 'i-882060', 'i-881971']","['iPhone 8', 'iPad Pro', 'iPhone X', 'iPhone 8', 'iPad Air', 'Echo Studio', 'Echo Studio', 'Echo Plus', 'iPad mini', 'Echo Dot']","['Gyunam Park', 'Benedikt Knopp']",['p-660278']
create_p-660279,2023-07-19 07:56:16+00:00,create package,,,"['i-882007', 'i-881975', 'i-882046', 'i-882049', 'i-881972']","['iPad', 'Kindle', 'Echo Plus', 'Kindle Paperwhite', 'Echo Plus']",['Benedikt Knopp'],['p-660279']
pick_i-882057,2023-07-19 07:56:16+00:00,pick item,,,['i-882057'],['Echo Show 5'],['Marco Pegoraro'],
pick_i-882050,2023-07-19 07:56:16+00:00,pick item,,,['i-882050'],['Echo'],['Christopher Schwanen'],
pick_i-882058,2023-07-19 07:56:16+00:00,pick item,,,['i-882058'],['iPad mini'],['Detlef Wetzeler'],
pick_i-882056,2023-07-19 07:56:16+00:00,pick item,,,['i-882056'],['iPhone 11 Pro'],['Marco Pegoraro'],
pick_i-882055,2023-07-19 07:56:16+00:00,pick item,,,['i-882055'],['MacBook Pro'],['Benedikt Knopp'],
pick_i-881948,2023-07-19 08:01:57+00:00,pick item,,,['i-881948'],['MacBook Pro'],['Nina Graves'],
place_o-990532,2023-07-19 08:06:03+00:00,place order,['o-990532'],['Riviera Robotics SAS'],"['i-882093', 'i-882094', 'i-882095', 'i-882096']","['iPad Air', 'iPad Air', 'Kindle', 'iPhone X']",,
pick_i-882047,2023-07-19 08:25:45+00:00,pick item,,,['i-882047'],['Echo Show 5'],['Marco Pegoraro'],
pick_i-882048,2023-07-19 08:25:45+00:00,pick item,,,['i-882048'],['iPhone 11'],['Leah Tacke genannt Unterberg'],
out_of_stock_i-881992,2023-07-19 08:28:35+00:00,item out of stock,,,['i-881992'],['Fire Stick 4K'],['Leah Tacke genannt Unterberg'],
pay_o-990486,2023-07-19 09:10:36+00:00,pay order,['o-990486'],,"['i-881906', 'i-881907', 'i-881908', 'i-881909']","['Echo Studio', 'Echo Dot', 'iPhone 11 Pro', 'Fire Stick']",,
confirm_o-990524,2023-07-19 09:29:30+00:00,confirm order,['o-990524'],['Eastern Oak Insurance Zrt.'],"['i-882062', 'i-882063', 'i-882064', 'i-882065', 'i-882066']","['iPhone 11 Pro', 'iPhone 11 Pro', 'iPhone 11', 'iPhone X', 'Echo']",['Mara Nitschke'],
place_o-990533,2023-07-19 09:57:10+00:00,place order,['o-990533'],['Pantheon Art Gallery Kft.'],"['i-882097', 'i-882098', 'i-882099', 'i-882100', 'i-882101', 'i-882102']","['iPad', 'iPhone 11 Pro', 'iPad', 'Fire Stick 4K', 'Fire Stick 4K', 'iPad']",,
pay_o-990365,2023-07-19 10:24:24+00:00,pay order,['o-990365'],,"['i-881448', 'i-881449', 'i-881450', 'i-881451', 'i-881452']","['Fire Stick', 'Echo Show 5', 'MacBook Pro', 'Echo Show 8', 'Fire Stick']",,
pick_i-882089,2023-07-19 10:50:40+00:00,pick item,,,['i-882089'],['iPad'],['Nina Graves'],
pay_o-990487,2023-07-19 11:09:18+00:00,pay order,['o-990487'],,"['i-881910', 'i-881911']","['Kindle Paperwhite', 'MacBook Pro']",,
create_p-660280,2023-07-19 11:29:40+00:00,create package,,,"['i-881995', 'i-881860', 'i-881994']","['Echo Plus', 'Kindle Paperwhite', 'Echo Plus']",['Marco Pegoraro'],['p-660280']
pick_i-882084,2023-07-19 11:29:40+00:00,pick item,,,['i-882084'],['Kindle'],['Detlef Wetzeler'],
pay_o-990497,2023-07-19 11:38:37+00:00,pay order,['o-990497'],,"['i-881946', 'i-881947', 'i-881948', 'i-881949']","['Echo Dot', 'Echo Show 5', 'MacBook Pro', 'Echo Studio']",,
deliver_p-660272,2023-07-19 11:49:20+00:00,package delivered,,,"['i-881877', 'i-881915', 'i-881916']","['iPhone X', 'Kindle Paperwhite', 'MacBook Air']",['Majid Rafiei'],['p-660272']
pick_i-882072,2023-07-19 12:00:31+00:00,pick item,,,['i-882072'],['Kindle Paperwhite'],['Leah Tacke genannt Unterberg'],
place_o-990534,2023-07-19 12:12:25+00:00,place order,['o-990534'],['AlpenTech Innovations AG'],"['i-882103', 'i-882104', 'i-882105', 'i-882106', 'i-882107']","['Echo Show 8', 'iPhone X', 'Echo Show 5', 'MacBook Pro', 'Fire Stick']",,
send_p-660279,2023-07-19 12:56:16+00:00,send package,,,"['i-882007', 'i-881975', 'i-882046', 'i-882049', 'i-881972']","['iPad', 'Kindle', 'Echo Plus', 'Kindle Paperwhite', 'Echo Plus']","['Gyunam Park', 'Nina Graves']",['p-660279']
pay_o-990488,2023-07-19 13:06:41+00:00,pay order,['o-990488'],,"['i-881912', 'i-881913']","['Fire Stick', 'iPad mini']",,
place_o-990535,2023-07-19 13:42:56+00:00,place order,['o-990535'],['Eastern Oak Insurance Zrt.'],"['i-882108', 'i-882109', 'i-882110', 'i-882111', 'i-882112']","['Echo Show 5', 'iPhone 11', 'iPad Air', 'iPhone X', 'Echo Show 5']",,
deliver_p-660273,2023-07-19 14:03:23+00:00,package delivered,,,"['i-881989', 'i-881986', 'i-881983', 'i-881984', 'i-881990', 'i-881987', 'i-881991', 'i-881988', 'i-881985', 'i-882016', 'i-882001', 'i-882000', 'i-882012', 'i-882013', 'i-882011', 'i-882015', 'i-882014', 'i-881859']","['iPhone 11 Pro', 'Echo Plus', 'iPhone 8', 'Echo Show 5', 'Echo Plus', 'MacBook Pro', 'iPhone X', 'iPad mini', 'Kindle Paperwhite', 'iPhone 8', 'Kindle Paperwhite', 'MacBook Pro', 'Kindle Paperwhite', 'iPad Pro', 'Echo Studio', 'Kindle', 'iPhone 8', 'iPhone 11']",['Viki Peeva'],['p-660273']
create_p-660281,2023-07-19 14:46:10+00:00,create package,,,['i-881999'],['iPad Pro'],['Benedikt Knopp'],['p-660281']
pick_i-882065,2023-07-19 14:46:10+00:00,pick item,,,['i-882065'],['iPhone X'],['Leah Tacke genannt Unterberg'],
pick_i-882066,2023-07-19 14:46:10+00:00,pick item,,,['i-882066'],['Echo'],['Marco Pegoraro'],
place_o-990536,2023-07-19 15:43:58+00:00,place order,['o-990536'],['Iberian Sun Solaridades SA'],"['i-882113', 'i-882114', 'i-882115', 'i-882116', 'i-882117', 'i-882118', 'i-882119']","['MacBook Air', 'iPad', 'iPhone 11 Pro', 'Echo Dot', 'MacBook Air', 'iPhone 8', 'Echo']",,
create_p-660282,2023-07-19 15:56:20+00:00,create package,,,"['i-881905', 'i-882019', 'i-882021', 'i-882020', 'i-881834', 'i-881900', 'i-881756']","['Echo', 'Kindle', 'iPhone 8', 'Kindle Paperwhite', 'Fire Stick 4K', 'iPad', 'iPhone 11 Pro']",['Leah Tacke genannt Unterberg'],['p-660282']
pick_i-882081,2023-07-19 15:56:20+00:00,pick item,,,['i-882081'],['MacBook Air'],['Marco Pegoraro'],
send_p-660280,2023-07-19 16:29:40+00:00,send package,,,"['i-881995', 'i-881860', 'i-881994']","['Echo Plus', 'Kindle Paperwhite', 'Echo Plus']","['Eduardo Goulart Rocha', 'Marco Pegoraro']",['p-660280']
out_of_stock_i-882002,2023-07-19 16:52:22+00:00,item out of stock,,,['i-882002'],['Echo Show 5'],['Benedikt Knopp'],
pick_i-881893,2023-07-19 16:56:35+00:00,pick item,,,['i-881893'],['iPad'],['Marco Pegoraro'],
place_o-990537,2023-07-19 17:46:01+00:00,place order,['o-990537'],['Vesta Fashion House GmbH'],"['i-882120', 'i-882121', 'i-882122', 'i-882123', 'i-882124', 'i-882125', 'i-882126', 'i-882127', 'i-882128']","['Echo Studio', 'iPhone 8', 'MacBook Air', 'Echo Plus', 'iPad mini', 'Echo Plus', 'iPhone X', 'iPad mini', 'iPhone X']",,
send_p-660281,2023-07-19 19:46:10+00:00,send package,,,['i-881999'],['iPad Pro'],"['Eduardo Goulart Rocha', 'Christopher Schwanen']",['p-660281']
place_o-990538,2023-07-19 19:54:15+00:00,place order,['o-990538'],['Eastern Oak Insurance Zrt.'],"['i-882129', 'i-882130', 'i-882131', 'i-882132']","['iPad mini', 'iPhone 8', 'Echo Plus', 'iPhone X']",,
confirm_o-990525,2023-07-19 20:03:51+00:00,confirm order,['o-990525'],['Pantheon Art Gallery Kft.'],"['i-882067', 'i-882068', 'i-882069', 'i-882070', 'i-882071', 'i-882072', 'i-882073']","['iPhone 8', 'Echo Dot', 'iPad Pro', 'iPhone 8', 'Kindle', 'Kindle Paperwhite', 'Echo Show 5']",['Istvan Koren'],
out_of_stock_i-882008,2023-07-19 20:06:37+00:00,item out of stock,,,['i-882008'],['Echo Dot'],['Nina Graves'],
send_p-660282,2023-07-19 20:56:20+00:00,send package,,,"['i-881905', 'i-882019', 'i-882021', 'i-882020', 'i-881834', 'i-881900', 'i-881756']","['Echo', 'Kindle', 'iPhone 8', 'Kindle Paperwhite', 'Fire Stick 4K', 'iPad', 'iPhone 11 Pro']","['Viki Peeva', 'Majid Rafiei']",['p-660282']
confirm_o-990526,2023-07-19 21:42:27+00:00,confirm order,['o-990526'],['Carpathian Financial Services plc'],"['i-882074', 'i-882075', 'i-882076', 'i-882077', 'i-882078', 'i-882079', 'i-882080']","['Echo Plus', 'Echo Show 5', 'Echo Dot', 'iPad Pro', 'Kindle', 'Echo Plus', 'Echo']",['Jan Niklas Adams'],
pick_i-882088,2023-07-19 21:57:20+00:00,pick item,,,['i-882088'],['iPad'],['Nina Graves'],
pick_i-882079,2023-07-19 22:32:27+00:00,pick item,,,['i-882079'],['Echo Plus'],['Leah Tacke genannt Unterberg'],
pick_i-882075,2023-07-19 22:32:27+00:00,pick item,,,['i-882075'],['Echo Show 5'],['Detlef Wetzeler'],
pick_i-882080,2023-07-19 22:32:27+00:00,pick item,,,['i-882080'],['Echo'],['Nina Graves'],
pick_i-882073,2023-07-19 23:07:11+00:00,pick item,,,['i-882073'],['Echo Show 5'],['Benedikt Knopp'],
out_of_stock_i-882017,2023-07-19 23:12:38+00:00,item out of stock,,,['i-882017'],['Echo'],['Marco Pegoraro'],
create_p-660283,2023-07-19 23:17:10+00:00,create package,,,"['i-882028', 'i-882024', 'i-882027', 'i-882022', 'i-882025', 'i-882026', 'i-882074', 'i-882078', 'i-882077', 'i-882082', 'i-882084', 'i-882081', 'i-882079', 'i-882075', 'i-882080', 'i-882029']","['iPad Pro', 'Echo Dot', 'Kindle Paperwhite', 'Fire Stick 4K', 'MacBook Pro', 'Echo Studio', 'Echo Plus', 'Kindle', 'iPad Pro', 'Echo Dot', 'Kindle', 'MacBook Air', 'Echo Plus', 'Echo Show 5', 'Echo', 'iPhone X']",['Christopher Schwanen'],['p-660283']
pick_i-882099,2023-07-19 23:17:10+00:00,pick item,,,['i-882099'],['iPad'],['Detlef Wetzeler'],
pick_i-882097,2023-07-19 23:17:10+00:00,pick item,,,['i-882097'],['iPad'],['Leah Tacke genannt Unterberg'],
place_o-990539,2023-07-19 23:24:41+00:00,place order,['o-990539'],['Vesta Fashion House GmbH'],['i-882133'],['Fire Stick'],,
confirm_o-990527,2023-07-19 23:59:40+00:00,confirm order,['o-990527'],['Carpathian Financial Services plc'],"['i-882081', 'i-882082', 'i-882083', 'i-882084']","['MacBook Air', 'Echo Dot', 'Echo Show 8', 'Kindle']",['Jan Niklas Adams'],
pick_i-882083,2023-07-20 00:49:40+00:00,pick item,,,['i-882083'],['Echo Show 8'],['Christopher Schwanen'],
pick_i-882069,2023-07-20 01:20:31+00:00,pick item,,,['i-882069'],['iPad Pro'],['Mahsa Bafrani'],
pick_i-882104,2023-07-20 01:32:25+00:00,pick item,,,['i-882104'],['iPhone X'],['Marco Pegoraro'],
confirm_o-990528,2023-07-20 01:34:06+00:00,confirm order,['o-990528'],['Riviera Robotics SAS'],['i-882085'],['Echo Show 5'],['Christine von Dobbert'],
pay_o-990500,2023-07-20 02:42:00+00:00,pay order,['o-990500'],,"['i-881953', 'i-881954', 'i-881955', 'i-881956', 'i-881957', 'i-881958', 'i-881959']","['Echo Show 8', 'Echo Show 5', 'Kindle Paperwhite', 'Echo Show 5', 'iPhone 11', 'Kindle', 'Echo Show 8']",,
pick_i-882112,2023-07-20 03:02:56+00:00,pick item,,,['i-882112'],['Echo Show 5'],['Marco Pegoraro'],
out_of_stock_i-882009,2023-07-20 03:03:17+00:00,item out of stock,,,['i-882009'],['Echo Studio'],['Christopher Schwanen'],
out_of_stock_i-882006,2023-07-20 03:03:17+00:00,item out of stock,,,['i-882006'],['Kindle'],['Leah Tacke genannt Unterberg'],
reorder_i-881880,2023-07-20 03:31:16+00:00,reorder item,,,['i-881880'],['Echo'],['Detlef Wetzeler'],
confirm_o-990529,2023-07-20 03:42:57+00:00,confirm order,['o-990529'],['Vesta Fashion House GmbH'],['i-882086'],['Echo'],['Jan Niklas Adams'],
send_p-660283,2023-07-20 04:17:10+00:00,send package,,,"['i-882028', 'i-882024', 'i-882027', 'i-882022', 'i-882025', 'i-882026', 'i-882074', 'i-882078', 'i-882077', 'i-882082', 'i-882084', 'i-882081', 'i-882079', 'i-882075', 'i-882080', 'i-882029']","['iPad Pro', 'Echo Dot', 'Kindle Paperwhite', 'Fire Stick 4K', 'MacBook Pro', 'Echo Studio', 'Echo Plus', 'Kindle', 'iPad Pro', 'Echo Dot', 'Kindle', 'MacBook Air', 'Echo Plus', 'Echo Show 5', 'Echo', 'iPhone X']","['Yisong Zhang', 'Yisong Zhang']",['p-660283']
out_of_stock_i-882076,2023-07-20 04:39:07+00:00,item out of stock,,,['i-882076'],['Echo Dot'],['Marco Pegoraro'],
pay_o-990501,2023-07-20 04:58:46+00:00,pay order,['o-990501'],,"['i-881960', 'i-881961', 'i-881962', 'i-881963', 'i-881964', 'i-881965', 'i-881966']","['MacBook Pro', 'iPhone 8', 'MacBook Air', 'Echo', 'Echo Dot', 'iPhone 11 Pro', 'Kindle']",,
reminder_o-990505_115,2023-07-20 05:19:43+00:00,payment reminder,['o-990505'],,"['i-881980', 'i-881981', 'i-881982']","['Echo Show 5', 'Echo Plus', 'Echo']",,
confirm_o-990530,2023-07-20 06:00:40+00:00,confirm order,['o-990530'],['Balkan Minerals d.o.o.'],"['i-882087', 'i-882088', 'i-882089', 'i-882090']","['Kindle Paperwhite', 'iPad', 'iPad', 'iPad mini']",['Christine von Dobbert'],
